n_train,cross_entropy,f1,seed,experiment,test_acc,n_test,value,train_time,dataset,method,n_params
20,0.40019794823197596,0.8398398398398399,0,01_xor_2d_low_data,0.84375,32,,9.962466716766357,xor_2d,qifm,31
20,,,0,01_xor_2d_low_data,0.53125,32,,,xor_2d,logreg,3
20,,,0,01_xor_2d_low_data,0.71875,32,,,xor_2d,mlp,17
20,,,0,01_xor_2d_low_data,0.875,32,,,xor_2d,rbf_svm,55
20,,,0,01_xor_2d_low_data,0.78125,32,,,xor_2d,rff,97
20,2.580867686594652,0.718475073313783,1,01_xor_2d_low_data,0.71875,32,,9.880566120147705,xor_2d,qifm,31
20,,,1,01_xor_2d_low_data,0.46875,32,,,xor_2d,logreg,3
20,,,1,01_xor_2d_low_data,0.84375,32,,,xor_2d,mlp,17
20,,,1,01_xor_2d_low_data,0.84375,32,,,xor_2d,rbf_svm,40
20,,,1,01_xor_2d_low_data,0.75,32,,,xor_2d,rff,97
32,1.727464628742456,0.9333333333333333,0,02_xor_4d_parity,0.9375,32,,16.309566020965576,parity_4d,qifm,31
32,,,0,02_xor_4d_parity,0.625,32,,,parity_4d,logreg,5
32,,,0,02_xor_4d_parity,0.625,32,,,parity_4d,mlp,25
32,,,0,02_xor_4d_parity,0.71875,32,,,parity_4d,rbf_svm,146
32,,,0,02_xor_4d_parity,0.8125,32,,,parity_4d,rff,97
32,1.8197282934795345,0.875,1,02_xor_4d_parity,0.875,32,,15.829805135726929,parity_4d,qifm,31
32,,,1,02_xor_4d_parity,0.46875,32,,,parity_4d,logreg,5
32,,,1,02_xor_4d_parity,0.59375,32,,,parity_4d,mlp,25
32,,,1,02_xor_4d_parity,0.6875,32,,,parity_4d,rbf_svm,121
32,,,1,02_xor_4d_parity,0.78125,32,,,parity_4d,rff,97
20,2.197329520827178,0.75,0,03_two_moons_20,0.75,32,,10.132398843765259,two_moons,qifm,31
20,,,0,03_two_moons_20,0.8125,32,,,two_moons,logreg,3
20,,,0,03_two_moons_20,0.84375,32,,,two_moons,mlp,17
20,,,0,03_two_moons_20,0.90625,32,,,two_moons,rbf_svm,43
20,,,0,03_two_moons_20,0.84375,32,,,two_moons,rff,97
