experiment,method,best_classical,qifm_mean,best_classical_mean,mean_acc,std_acc,mean,n_params,n
01_xor_2d_low_data,qifm,,,,0.78125,0.08838834764831845,,31,2
01_xor_2d_low_data,classical_logreg,,,,0.5,0.04419417382415922,,3,2
01_xor_2d_low_data,classical_mlp,,,,0.78125,0.08838834764831845,,17,2
01_xor_2d_low_data,classical_rbf_svm,,,,0.859375,0.02209708691207961,,47,2
01_xor_2d_low_data,classical_rff,,,,0.765625,0.02209708691207961,,97,2
01_xor_2d_low_data,LEARNING_SIGNAL,rbf_svm,0.78125,0.859375,,,-0.078125,,2
02_xor_4d_parity,qifm,,,,0.90625,0.04419417382415922,,31,2
02_xor_4d_parity,classical_logreg,,,,0.546875,0.11048543456039805,,5,2
02_xor_4d_parity,classical_mlp,,,,0.609375,0.02209708691207961,,25,2
02_xor_4d_parity,classical_rbf_svm,,,,0.703125,0.02209708691207961,,133,2
02_xor_4d_parity,classical_rff,,,,0.796875,0.02209708691207961,,97,2
02_xor_4d_parity,LEARNING_SIGNAL,rff,0.90625,0.796875,,,0.109375,,2
03_two_moons_20,qifm,,,,0.828125,0.11048543456039805,,31,2
03_two_moons_20,classical_logreg,,,,0.84375,0.04419417382415922,,3,2
03_two_moons_20,classical_mlp,,,,0.859375,0.02209708691207961,,17,2
03_two_moons_20,classical_rbf_svm,,,,0.890625,0.02209708691207961,,40,2
03_two_moons_20,classical_rff,,,,0.828125,0.02209708691207961,,97,2
03_two_moons_20,LEARNING_SIGNAL,rbf_svm,0.828125,0.890625,,,-0.0625,,2
04_two_moons_100,qifm,,,,0.953125,0.06629126073623882,,31,2
04_two_moons_100,classical_logreg,,,,0.890625,0.02209708691207961,,3,2
04_two_moons_100,classical_mlp,,,,0.875,0.0,,17,2
04_two_moons_100,classical_rbf_svm,,,,0.921875,0.06629126073623882,,52,2
04_two_moons_100,classical_rff,,,,0.859375,0.15467960838455727,,97,2
04_two_moons_100,LEARNING_SIGNAL,rbf_svm,0.953125,0.921875,,,0.03125,,2
05_circles,qifm,,,,0.71875,0.08838834764831845,,31,2
05_circles,classical_logreg,,,,0.59375,0.04419417382415922,,3,2
05_circles,classical_mlp,,,,0.5625,0.08838834764831845,,17,2
05_circles,classical_rbf_svm,,,,1.0,0.0,,56,2
05_circles,classical_rff,,,,0.9375,0.04419417382415922,,97,2
05_circles,LEARNING_SIGNAL,rbf_svm,0.71875,1.0,,,-0.28125,,2
06_spiral,qifm,,,,0.609375,0.06629126073623882,,31,2
06_spiral,classical_logreg,,,,0.546875,0.15467960838455727,,3,2
06_spiral,classical_mlp,,,,0.421875,0.11048543456039805,,17,2
06_spiral,classical_rbf_svm,,,,0.578125,0.11048543456039805,,83,2
06_spiral,classical_rff,,,,0.640625,0.11048543456039805,,97,2
06_spiral,LEARNING_SIGNAL,rff,0.609375,0.640625,,,-0.03125,,2
07_checkerboard,qifm,,,,0.625,0.13258252147247765,,31,2
07_checkerboard,classical_logreg,,,,0.640625,0.02209708691207961,,3,2
07_checkerboard,classical_mlp,,,,0.609375,0.02209708691207961,,17,2
07_checkerboard,classical_rbf_svm,,,,0.625,0.04419417382415922,,83,2
07_checkerboard,classical_rff,,,,0.65625,0.08838834764831845,,97,2
07_checkerboard,LEARNING_SIGNAL,rff,0.625,0.65625,,,-0.03125,,2
08_gaussian_mixture,qifm,,,,1.0,0.0,,31,2
